latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.74606,-73.95765,30.0,1.0,0.02,1.0,0.0
40.78111,-73.97739,14.0,88.0,1.03,1.0,176.0
40.75685,-73.96388,2.0,4.0,0.22,1.0,0.0
40.72807,-73.98594,3.0,0.0,0.03,1.0,0.0
40.71711,-73.8347,1.0,34.0,1.67,1.0,93.0
40.86699,-73.92689,1.0,17.0,1.68,1.0,64.0
40.76014,-73.96098,1.0,25.0,1.67,11.0,330.0
40.73226,-73.95285,1.0,2.0,0.05,1.0,0.0
40.84819,-73.90648,2.0,41.0,0.81,2.0,342.0
40.74588,-73.83284,1.0,14.0,2.76,6.0,121.0
40.62139,-74.0319,1.0,1.0,0.09,1.0,0.0
40.70468,-73.92443,5.0,0.0,0.084,3.0,0.0
40.79154,-73.94233,1.0,186.0,6.38,4.0,199.0
40.71239,-73.96178,5.0,0.0,0.066,1.0,0.0
40.61295,-73.95366,1.0,10.0,0.3,1.0,0.0
40.72564,-73.98088,1.0,0.0,0.038,1.0,0.0
40.81509,-73.96019,4.0,4.0,0.07,1.0,0.0
40.72167,-73.98066,1.0,3.0,0.38,1.0,365.0
40.80872,-73.94228,1.0,2.0,0.07,3.0,0.0
40.71193,-73.95956,3.0,32.0,3.58,2.0,141.0
40.74796,-73.97018,3.0,0.0,0.06799999999999999,1.0,0.0
40.67603,-73.96941,4.0,2.0,0.04,1.0,0.0
40.77943,-73.9117,2.0,80.0,2.35,1.0,350.0
40.68194,-73.93567,30.0,0.0,0.21799999999999997,2.0,45.0
40.70721,-73.95341,2.0,17.0,0.59,1.0,3.0
40.72272,-73.98379,30.0,0.0,0.164,232.0,330.0
40.67293,-73.93273,2.0,53.0,2.3,1.0,8.0
40.64434,-73.95288,3.0,0.0,0.39,2.0,311.0
40.75659,-73.93108,2.0,1.0,1.0,1.0,266.0
40.80652,-73.94937,1.0,33.0,4.25,1.0,19.0
40.66209,-73.92913,1.0,23.0,0.74,2.0,364.0
40.6837,-73.93325,2.0,4.0,0.12,1.0,0.0
40.704,-73.91492,2.0,19.0,1.47,1.0,198.0
40.62477,-73.95517,1.0,0.0,1.202,3.0,330.0
40.79874,-73.96034,3.0,18.0,0.39,1.0,0.0
40.71064,-73.87463,1.0,4.0,0.34,1.0,0.0
40.68946,-73.97279,3.0,1.0,0.14,1.0,125.0
40.68593,-73.95702,7.0,6.0,0.45,1.0,0.0
40.72104,-73.99498,2.0,123.0,3.79,3.0,59.0
40.70742,-73.94185,3.0,0.0,0.031999999999999994,1.0,0.0
40.71801,-73.95244,1.0,2.0,1.09,1.0,249.0
40.86429,-73.90204,1.0,0.0,0.656,1.0,83.0
40.69169,-73.93142,4.0,34.0,0.73,2.0,340.0
40.73822,-74.00606,2.0,11.0,0.21,1.0,0.0
40.68792,-73.83752,1.0,22.0,0.49,1.0,130.0
40.67878,-73.9172,1.0,22.0,9.85,2.0,236.0
40.80569,-73.94848,3.0,38.0,3.21,3.0,302.0
40.75525,-73.99597,3.0,4.0,0.38,1.0,108.0
40.85415,-73.93108,2.0,9.0,0.2,1.0,0.0
40.7036,-73.92496,1.0,4.0,2.31,1.0,71.0
40.63747,-74.01153,3.0,5.0,0.11,1.0,281.0
40.66949,-73.92172,1.0,6.0,1.91,2.0,323.0
40.73485,-74.00313,30.0,0.0,0.09,65.0,326.0
40.69456,-73.96439,1.0,3.0,0.63,1.0,0.0
40.72133,-73.83928,2.0,35.0,3.85,5.0,235.0
40.66588,-73.97833,14.0,1.0,0.03,2.0,0.0
40.76283,-73.99331,2.0,30.0,0.8,3.0,3.0
40.70964,-74.01798,1.0,0.0,1.0,1.0,43.0
40.64933,-73.96478,5.0,4.0,0.11,1.0,0.0
40.7617,-73.99762,30.0,2.0,0.08,121.0,365.0
40.58438,-73.95564,1.0,4.0,1.85,1.0,341.0
40.63573,-74.00552,1.0,1.0,0.26,7.0,350.0
40.74286,-73.89163,1.0,57.0,4.37,2.0,295.0
40.79663,-73.94893,1.0,5.0,0.13,1.0,0.0
40.71258,-73.94307,1.0,15.0,2.02,1.0,16.0
40.58634,-73.81867,1.0,144.0,4.13,2.0,134.0
40.77305,-73.96283,3.0,48.0,1.53,1.0,0.0
40.68535,-73.96736,3.0,4.0,0.62,1.0,0.0
40.64189,-73.96066,3.0,4.0,0.12,1.0,69.0
40.66045,-73.89873,4.0,121.0,2.54,2.0,33.0
40.85911,-73.93087,2.0,6.0,5.0,1.0,29.0
40.69499,-73.94822,5.0,42.0,1.58,3.0,63.0
40.68457,-73.9262,2.0,5.0,0.13,2.0,0.0
40.69633,-73.93369,3.0,0.0,0.07400000000000001,2.0,0.0
40.72131,-73.99487,3.0,17.0,0.22,1.0,0.0
40.74612,-73.9796,4.0,0.0,0.64,1.0,78.0
40.71457,-73.9958,1.0,71.0,5.5,3.0,91.0
40.75562,-73.99539,30.0,8.0,0.71,47.0,351.0
40.71002,-73.96114,30.0,25.0,0.82,3.0,342.0
40.7528,-73.97092,12.0,4.0,1.38,1.0,118.0
40.71813,-73.95981,2.0,51.0,0.91,1.0,147.0
40.82914,-73.94736,4.0,153.0,4.74,2.0,125.0
